Given Names,Last Name,Born,Died,Location
Samuel Frederick,Lawrence,1886-mm-dd,1901-12-26,5-14-7
Susan,Boyce,yyyy-mm-dd,yyyy-mm-dd,5-38-9
Ellen Victoria,Board,yyyy-mm-dd,yyyy-mm-dd,5-38-9
Ann Ellen,Boyce,yyyy-mm-dd,yyyy-mm-dd,5-38-9
Stuart Leslie,Board,yyyy-mm-dd,yyyy-mm-dd,5-38-9
Alfred John,Potier,1842-10-16,1929-08-21,5-39-20
Reginald Alfred Maines,Potier,yyyy-mm-dd,yyyy-mm-dd,5-39-20
Lewis William,Potier,yyyy-mm-dd,yyyy-mm-dd,5-39-20
Joseph,Hughes,1843-mm-dd,1920-07-27,5-40-19
Daniel George,Bloomfield,1858-mm-dd,1915-mm-dd,5-101-11
Hereward Humfry,Henchman,1874-11-29,1939-04-25,5-101-18/19
George Rogers,Harding,1868-mm-dd,1940-mm-dd,5-101-30
George Rogers,Harding,1905-mm-dd,1937-mm-dd,5-101-30
Walter Charles,Harding,1870-mm-dd,1939-mm-dd,5-101-30
Christopher Winter,Harding,1913-mm-dd,1982-mm-dd,5-101-30
Atwill Buxton,Kenrick,1863-mm-dd,1922-mm-dd,5-71-2
Adolph Frederick Milford,Feez,1858-mm-dd,1944-mm-dd,5-68-3
John Henry,Flower,1852-mm-dd,1918-mm-dd,5-69-2
John Arthur,Macartney,1834-mm-dd,1917-mm-dd,5-62-16
Richard William,Curtis,1840-mm-dd,1905-mm-dd,5-61-22
William,Atwell,1843-mm-dd,1913-01-16,5-38-17
George,Simpson,1858-12-15,1938-01-22,24-13-16
Jane,Simpson,yyyy-mm-dd,1945-05-19,24-13-16
John Robert,Wilkinson,yyyy-mm-dd,yyyy-mm-dd,24-7-13/14
Emma,Wilkinson,yyyy-mm-dd,yyyy-mm-dd,24-7-13/14
James Edward,Halliday,1852-mm-dd,1930-04-23,24-1-8
Emily Jane,Halliday,1852-mm-dd,1933-03-26,24-1-8
Thomas,Jones,1836-07-30,1918-08-14,6-3-8/9
Walter,Thompson,1863-mm-dd,1952-01-08,6-3-11
Mary Lorna,Thompson,yyyy-mm-dd,1931-11-01,6-3-11
Charles,Highfield,1840-06-06,1923-10-10,6-11-15/15A
Harriott Eleanor,Highfield,1853-10-06,1937-12-16,6-11-15/15A
Thomas,McWatters,yyyy-mm-dd,1937-12-17,6-12-20/21
Fanny,McWatters,yyyy-mm-dd,1913-mm-dd,6-12-20/21
Jessie,McWatters,yyyy-mm-dd,yyyy-mm-dd,6-12-20/21
William John,Dunstan,1873-10-13,1930-09-13,6-12-15
Theodore,Osborne,1837-mm-dd,1940-11-18,6-27-17
Alexander,Mountford,1898-02-10,1936-09-15,16-18-30
Charles Walter,de Vis,1829-05-09,1915-04-30,16-22-18
Olive May,Heathorn,1890-mm-dd,1936-06-07,16-24-14
Charles Frederick Augustus,Garland,1862-mm-dd,1938-01-25,15-11-26/27
James Edwin,Ramsbotham,1856-11-04,1913-04-14,15-16-17
Jack,Toppin,yyyy-mm-dd,yyyy-mm-dd,15-16-40/41
Leo,Toppin,yyyy-mm-dd,yyyy-mm-dd,15-16-40/41
Madonna,Toppin,yyyy-mm-dd,yyyy-mm-dd,15-16-40/41
Francis Malachy,McKeon,yyyy-mm-dd,1925-11-17,15-17-7
John,Forde,1860-mm-dd,1927-09-18,15-19-27/28
Ellen,Forde,1863-mm-dd,1923-03-09,15-19-27/28
Hugh,Glackin,1844-03-18,1926-09-22,15-22-20/21
Frederick Augustus (Gus),Garland,1845-mm-dd,1933-06-05,15-24-22
John,Galligan,1857-mm-dd,1925-01-27,15-26-12
Richard Oldfield,White,yyyy-mm-dd,1926-10-22,10-57-1
William Henry,Warman,yyyy-mm-dd,1912-10-31,2A-25-27/28 
Sylvester,Doig,yyyy-mm-dd,1884-09-25,1-22-9
Charles,Mills,1834-08-18,1894-08-23,1-21-4
James Charles,Beal,1833-mm-dd,1904-08-24,7-41-18
Richard,Belford,yyyy-mm-dd,1865-04-28,15-11-6
Septimus,Price,1837-mm-dd,1902-12-28,9-33-3
Thomas Woodward,Hill,1816-12-16,1892-01-31,13-42-22
Agnes Caroline,Hill (Hall; Rains),1819-07-05,1904-08-09,3-42-22 
Robert,Bulcock,1832-05-21,1900-05-10,13-24-12 
Thomas,Illidge,1823-mm-dd,1896-06-07,13-24-1
Joseph,Bancroft,1836-02-21,1894-06-16,13-35-3 
James,Brayden,1827-mm-dd,1890-mm-dd,13-38-11
Richard Henry,Sholl,1821-mm-dd,1892-mm-dd,9-24-1/2
Daniel Rowntree,Somerset,1812-mm-dd,1880-mm-dd,13-80-7 
James,Clark,1857-10-02,1933-07-09,14-22-12
Charles,le Brocq,1829-mm-dd,1905-mm-dd,14-4-30/3 
James Walker,Cutten,1852-mm-dd,1935-mm-dd,5-94-12 
William,Hamilton,1858-mm-dd,1920-mm-dd,9-4-2
Kenneth,Hutchison,1850-mm-dd,1902-mm-dd,13-82-6
Robert Archibald,Ranking,1843-mm-dd,1912-mm-dd,12-35-14
Edwyn Mitford,Lilley,1859-mm-dd,1911-mm-dd,12-15-7 
Virgil,Power,1849-08-02,1914-06-02,7A-103-24
George Rogers,Harding,1838-12-03,1895-08-31,1-82-15
John,Hanly,1859-mm-dd,1935-10-06,7A-104-27 
Ernest James,Dawson,1902-mm-dd,1931-01-dd,7A-186-11
Kevin Spencer,Mason,yyyy-mm-dd,1956-05-09,25-13-4A
Arthur,Neden,yyyy-mm-dd,yyyy-mm-dd,28-39-9A
James Robb,Ward,yyyy-mm-dd,yyyy-mm-dd,15-7-17
Stephen Patrick,Tierney,yyyy-mm-dd,1914-12-17,7A-111-9
Frederic Charles,Urquhart,1858-10-27,1935-12-02,25-31-8
William Harold,Ryan,1873-mm-dd,1954-07-16,7A-116-44/1
Jessie,Massey,1874-03-05,1923-05-27,18-116-8
Catherine,Greasley,1853-mm-dd,1935-08-26,7A-43-16
Emily Sophia,Pickett,1857-07-04,1857-12-19,21-1-55
Henry Tom,Pickett,yyyy-mm-dd,1927-05-21,21-2-31
Glenville,Massy,1863-05-13,1939-03-25,18-116-8
Michael Fryar,Shield,1851-mm-dd,1935-08-05,18-8-24
Mary Ann,Shield,1852-mm-dd,1905-07-07,18-8-24
Albert,Shield,1852-mm-dd,1905-07-07,29A-67-9
Mary Craig,Atkinson,1848-mm-dd,1893-10-07,1-49-16
Silvester,Diggles,1817-mm-dd,1880-03-21,13-6-10/11
Sarah Ann,Campbell,1845-03-dd,1935-07-20,12-15-4
James,Campbell,1838-11-04,1925-09-13,12-15-4
Mary,Kennedy,1820-mm-dd,1885-08-05,1-4-11/12
Andrew,Kennedy,1858-mm-dd,1930-02-22,1-19-3
Doris Vivian,Kennedy,1899-mm-dd,1979-09-28,1-50-11A
Anders Peter,Petersen-Neilsen,1842-mm-dd,1928-05-10,9-7-7
Emma Christina,Petersen-Neilsen,1842-mm-dd,1925-01-27,9-7-7
Joseph Needham Scrope,Shrapnel,1838-mm-dd,1885-07-25,1-68-14/15
John Boyne,McLennan,1827-mm-dd,1908-11-21,13-58-3
William James,Affleck,1868-06-22,1932-09-16,8-49-14
Maud Voller,Affleck,1874-06-02,1965-09-26,8-49-14
Alexander William,MacDonald,1876-mm-dd,1941-07-13,10-80-18
Walter,Tarte,1893-10-dd,1940-04-23,10-75-58 
Alexander Robert,Morrison,1885-07-09,1939-05-02,10-76-16
Duncan,McDougall,1878-07-15,1939-05-18,10-76-48
Francis Ernest,Delaney,1929-mm-dd,1947-05-05,10-83-17
Thomas,Hale,1844-mm-dd,1910-04-13,18-23-12
Henry James,Beatty,1855-05-20,1901-06-16,12-12-22
William,Weir,1858-mm-dd,1899-09-13,12-38-9
James Forsyth,Thallon,1847-mm-dd,1911-03-24,11-71-14
George,Orr,yyyy-mm-dd,1910-02-24,12-60-1/2
John,Adamson,1857-02-18,1922-05-02,18-111-1
Barnard Charles,Evans,1845-04-15,1920-12-31,20-20-13/14
Joseph Atkinson,Holdsworth,1845-mm-dd,1916-06-02,1-136-33
